FORMATTED DATE-TIME,DT,MG,TR,WS,CW,HW,TP,WC,RH,HI,DP,WB,BP,AL,DA
YYYY-MM-DD HH:MM:SS,s,Mag,True,mph,mph,mph,°F,°F,%,°F,°F,°F,inHg,ft,ft
2016-08-20 16:00:00,525024000,***,***,0.0,0.0,0.0,70.7,70.7,65.6,71.1,58.7,63.0,29.78,115,1128
2016-08-20 17:00:00,525027600,***,***,0.0,0.0,0.0,70.9,70.9,64.3,71.2,58.3,62.8,29.80,101,1119
2016-08-20 18:00:00,525031200,***,***,0.0,0.0,0.0,71.0,71.1,64.2,71.4,58.3,62.8,29.81,96,1119
2016-08-20 19:00:00,525034800,***,***,0.0,0.0,0.0,70.9,70.9,64.4,71.2,58.3,62.8,29.80,96,1111
2016-08-20 20:00:00,525038400,***,***,0.0,0.0,0.0,71.3,71.2,64.5,71.6,58.7,63.1,29.81,88,1126
2016-08-20 21:00:00,525042000,***,***,0.0,0.0,0.0,71.1,71.1,65.0,71.4,58.7,63.1,29.82,80,1109
2016-08-20 22:00:00,525045600,***,***,0.0,0.0,0.0,71.2,71.2,65.2,71.6,58.9,63.3,29.83,70,1102
2016-08-20 23:00:00,525049200,***,***,0.0,0.0,0.0,71.3,71.4,65.2,71.8,59.1,63.5,29.84,70,1114
2016-08-21 00:00:00,525052800,***,***,0.0,0.0,0.0,71.1,71.1,65.5,71.4,59.0,63.3,29.83,75,1104
2016-08-21 01:00:00,525056400,***,***,0.0,0.0,0.0,71.1,71.1,65.9,71.4,59.1,63.3,29.81,93,1126
2016-08-21 02:00:00,525060000,***,***,0.0,0.0,0.0,71.0,71.1,66.9,71.6,59.5,63.7,29.81,92,1123
2016-08-21 03:00:00,525063600,***,***,0.0,0.0,0.0,71.2,71.2,66.3,71.8,59.4,63.5,29.79,115,1162
2016-08-21 04:00:00,525067200,***,***,0.0,0.0,0.0,71.2,71.2,66.0,71.8,59.3,63.5,29.79,115,1160
2016-08-21 05:00:00,525070800,***,***,0.0,0.0,0.0,71.2,71.2,66.1,71.8,59.3,63.5,29.79,115,1162
2016-08-21 06:00:00,525074400,***,***,0.0,0.0,0.0,71.4,71.4,66.1,72.0,59.5,63.7,29.79,106,1170
2016-08-21 07:00:00,525078000,***,***,0.0,0.0,0.0,71.2,71.2,66.5,71.8,59.5,63.7,29.80,101,1150
2016-08-21 08:00:00,525081600,***,***,0.0,0.0,0.0,71.3,71.2,66.7,71.8,59.6,63.7,29.80,101,1153
2016-08-21 09:00:00,525085200,***,***,0.0,0.0,0.0,71.3,71.2,66.8,71.8,59.7,63.7,29.80,105,1160
2016-08-21 10:00:00,525088800,***,***,0.0,0.0,0.0,71.4,71.4,66.4,72.0,59.7,63.9,29.79,113,1177
2016-08-21 11:00:00,525092400,***,***,0.0,0.0,0.0,71.0,71.1,67.3,71.6,59.6,63.7,29.77,128,1170
2016-08-21 12:00:00,525096000,***,***,0.0,0.0,0.0,71.0,71.1,67.4,71.6,59.7,63.7,29.74,161,1209
2016-08-21 13:00:00,525099600,***,***,0.0,0.0,0.0,71.0,71.1,66.2,71.6,59.2,63.3,29.73,170,1218
2016-08-21 14:00:00,525103200,***,***,0.0,0.0,0.0,71.2,71.2,65.5,71.6,59.0,63.3,29.71,183,1243
2016-08-21 15:00:00,525106800,***,***,0.0,0.0,0.0,70.6,70.7,66.3,71.2,58.9,63.0,29.69,196,1226
2016-08-21 16:00:00,525110400,***,***,0.0,0.0,0.0,70.6,70.5,64.9,70.7,58.2,62.6,29.69,196,1216
2016-08-21 17:00:00,525114000,***,***,0.0,0.0,0.0,70.5,70.5,65.6,70.7,58.4,62.8,29.71,186,1201
